JD	195	26.09.2001	YES		JD	din m84 x AB			
JD	196	27.09.2001	YES		JD	clo m34 x AB			
EM	197	25.09.2001	YES		MA	GFP-Odysseus F1	ody	ody	
SS	198	26.09.2001	YES		SS	gsc-GFP-nos3’UTR α/+			
SS	201	26.09.2001	YES		SS	gsc-GFP-nos3’UTR α/+			
SS	202	02.10.2001	YES		SS	gsc-vasa-gfp-nos3’UTR			
SS	203	02.10.2001	YES		SS	gsc-vasa-gfp-nos3’UTR			
MA	204	02.10.2001	YES		MA	AB (NY)			
MA	205	02.10.2001	YES		MA	AB (NY)			
MA	206	02.10.2001	YES		MA	AB (NY)			
MA	207	02.10.2001	YES		MA	AB (NY)			
MA	208	02.10.2001	YES		MA	AB			
JD	209	09.10.2001	YES		JD	clo m34 x AB			
JD	210	09.10.2001	YES		JD	clo m34 x AB			
JD	211	09.10.2001	YES		JD	clo m34 x AB			
JD	212	09.10.2001	YES		JD	clo m34 x AB			
MA	213	02.10.2001	YES		MA	AB			
MA	214	02.10.2001	YES		MA	AB			
EM	215	09.10.2001	YES		MA	GFP-Odysseus F1	ody	ody	
MA	216	09.10.2001	YES		MA	GFP Green Measles F2			
JD	217	09.10.2001	YES		JD	kny m818 x AB			
JD	218	11.10.2001	YES		JD	din m84 x AB			
JD	219	12.10.2001	YES		JD	swr ta72 x AB			
EM	220	09.10.2001	YES		MA	GFP-Odysseus F2	ody	ody	
EM	221	09.10.2001	YES		MA	GFP-Odysseus F2	ody	ody	
JD	223	17.10.2001	YES		JD	din m84 x AB			
JD	223	17.10.2001	YES		JD	din m84 x AB			
JD	224	17.10.2001	YES		JD	mil t273 x AB			
JD	225	17.10.2001	YES		JD	kny m818 x AB			
JD	226	23.10.2001	YES		JD	clo m34 x AB			
JD	227	23.10.2001	YES		JD	clo m34 x AB			
JD	228	23.10.2001	YES		JD	clo m34 x AB			
JD	229	23.10.2001	YES		JD	kny m818 x AB			
JD	230	23.10.2001	YES		JD	kny m818 x AB			
JD	231	23.10.2001	YES		JD	swr ta72 x AB			
JD	232	23.10.2001	YES		JD	swr ta72 x AB			
JD	233	30.10.2001	YES		JD	swr  ta72 x AB			
EM	234	13.11.2001	YES		MA	GFP-Odysseus F2	ody	ody 24	
MA	235	13.11.2001	YES		MA	GFP-Green MeaslesF2			
MK	236	19.11.2001	YES		MK	AB			
MK	237	19.11.2001	YES		MK	AB			
MK	238	12.11.2001	YES		MK	mz oep 			
SS	239	15.11.2001	YES		SS	gsc-vasa GFP-nos			
SS	240	15.11.2001	YES		SS	gsc-vasa-GFP-nos			
MK	241	21.11.2001	YES		MK	mzoep			
MA	242	22.11.2001	YES		MA	GFP Green Measles F2			
ME	243	29.11.2001	YES		ME	515/1			
EM	244	29.11.2001	YES		MA	GFP-Odysseus F2	ody	ody	
ER	245	05.12.2001	YES		ER	smu b641 X AB			
ME	246	05.10.2001	YES		ME	515/1			
SS	247	05.12.2001	YES		SS	gsc-GFP-nos +/+?			
EM	248	06.12.2001	YES		MA	GFP-Odysseus F2	ody	ody	
MK	249	05.12.2001	YES		MK	gscGFP-NREmut			
MA	250	12.12.2001	YES		MA	AB (NY)			
EM	251	11.12.2001	YES		MA	GFP-Odysseus F2	ody	ody	
ME	252	10.12.2001	YES		ME	515/2			
SS	253	12.12.2001	YES		SS	gsc-GFP-nos +/+?			
ME	254	14.12.2001	YES		ME	515/2			
EM	255	18.12.2001	YES		MA	GFP-Odysseus F2	ody	ody	
SR	256	01.11.2001	YES		SR	Kaga			
SR	257	07.11.2001	YES		SR	Medaka T5			
ME	258	18.12.2001	YES		ME	515/2			
ME	259	03.01.2002	YES		ME	515/3			
ME	260	03.01.2002	YES		ME	515/4			
EM	262	03.01.2002	YES		MA	GFP-Odysseus F3 homogen	ody	ody	
MA	263	03.01.2002	YES		MA	GFP-Green Measle F3 homogen 			
ME	264	07.01.2002	YES		ME	515/3			
ME	265	07.01.2002	YES		ME	515/4			
ME	266	07.01.2002	YES		ME	515/4			
ME	267	09.01.2002	YES		ME	515/3			
ME	268	09.01.2002	YES		ME	515/3			
JD	269	10.01.2002	YES		JD	din m84x AB			
JD	270	17.01.2002	YES		JD	din m84 x AB			
JD	271	17.01.2002	YES		JD	din m84 x AB			
MR	272	24.01.2002	YES		MR	AB-GFP493+393-injected			
MR	273	24.01.2002	YES		MR	AB-dnRac+GFP493+393-injected			
KIS	274	18.01.2002	YES		KIS	AB			
KIS	275	18.01.2002	YES		KIS	AB			
KIS	276	18.01.2002	YES		KIS	AB			
JD	277	24.01.2002	YES		JD	din m84 x AB			
MK	278	23.01.2002	YES		MK	AB x TL gsc-nos1-3’UTR NREmut 			
SR	279	09.01.2002	YES		SR	TL			
SR	280	03.01.2002	YES		SR	Wik			
SR	281	03.01.2002	YES		SR	Wik			
MR	282	31.01.2002	YES		MR	AB			
MR	283	31.01.2002	YES		MR	AB			
ER	284	30.01.2002	YES		ER	MZoep			
EM	285	31.01.2002	YES		MA	GFP-Odysseus F3 homogen 	ody	ody 24	
ER	286	06.02.2002	YES		ER	AB			
MA	287	05.02.2002	YES		MA	AB (NY)			
MA	288	05.02.2002	YES		MA	AB (NY)			
MA	289	05.02.2002	YES		MA	AB (NY)			
MA	290	05.02.2002	YES		MA	AB (NY)			
MA	291	05.02.2002	YES		MA	AB (NY)			
MA	292	07.02.2002	YES		MA	GFP-Green Measle D F2 			
KIS	293	07.02.2002	YES		KIS	AB			
KIS	294	07.02.2002	YES		KIS	AB			
KIS	295	07.02.2002	YES		KIS	AB			
JD	296	08.02.2002	YES		JD	din m84 x AB			
ER	297	06.02.2002	YES		ER	AB			
EM	298	14.02.2002	YES		MA	GFP-Odysseus F3 homolog 	ody	ody	
MA	299	14.02.2002	YES		MA	Tc3			
MA	300	14.02.2002	YES		MA	legitim SB 			
MA	301	14.02.2002	YES		MA	legitim Mariner			
MK	302	12.02.2002	YES		MK	gscGFP-NREmut			
ER	303	18.02.2002	YES		ER	MZoep			
JS	304	13.02.2002	YES		JS	AB			
JS	305	13.02.2002	YES		JS	AB			
JS	306	13.02.2002	YES		JS	AB			
JS	307	25.02.2002	YES		JS	AB			
JS	308	25.02.2002	YES		JS	AB			
MD	309	01.03.2002	YES		MD	TL			
MD	310	04.03.2002	YES		MD	HK			
JD	311	07.03.2002	YES		JD	AB  (MO-258-400uM)			
JS	312	07.03.2002	YES		JS	AB			
JS	313	07.03.2002	YES		JS	AB			
JS	314	07.03.2002	YES		JS	AB			
JS	315	07.03.2002	YES		JS	AB			
JS	316	07.03.2002	YES		JS	AB			
JS	317	07.03.2002	YES		JS	AB			
ME	318	11.03.2002	YES		ME	587/1			
ER	319	15.03.2002	YES		ER	Medaka T5			
SR	32	21.12.2000	YES		SR	T5			
EM	320	19.03.2002	YES		MA	GFP-Odysseus F3 homolog	ody	ody	
MA	321	19.03.2002	YES		MA	GFP-Green Measle F3 homolog			
MA	322	19.03.2002	YES		MA	GFP-Green Measle F3 homolog			
JD	323	21.03.2002	YES		JD	AB ( MO-258-400 uM)			
JD	324	21.03.2002	YES		JD	AB ( MO CON,400 uM )			
ME	325	18.03.2002	YES		ME	586/1			
JD	326	28.03.2002	YES		JD	AB(MO-258-400 uM)			
JD	327	28.03.2002	YES		JD	AB(CON MO-400 uM)			
ER	328	20.03.2002	YES		ER	Medaka kaga			
ER	329	20.03.2002	YES		ER	Medaka cab			
KS	330	25.03.2002	YES		KS	AB			
KS	331	25.03.2002	YES		KS	AB			
JS	332	27.03.2002	YES		JS	AB			
JS	333	27.03.2002	YES		JS	AB			
JS	334	27.03.2002	YES		JS	AB			
JS	335	27.03.2002	YES		JS	AB			
ME	336	03.04.2002	YES		ME	586/1			
SS	337	05.04.2002	YES		SS	gsc-GFP			
SS	338	05.04.2002	YES		SS	gcs-GFP			
SS	339	05.04.2002	YES		SS	gsc-GFP			
EM	340	10.04.2002	YES		MA	GFP-Odysseus F3 homolog	ody	ody	
ME	341	10.04.2002	YES		ME	586/1			
ME	342	17.04.2002	YES		ME	586/1			
MD	343	23.04.2002	YES		MD	TL			
MD	344	23.04.2002	YES		MD	TL			
JS	345	23.04.2002	YES		JS	AB			
JS	346	23.04.2002	YES		JS	AB			
JS	347	23.04.2002	YES		JS	AB			
JS	348	23.04.2002	YES		JS	AB			
JS	349	23.04.2002	YES		JS	AB			
JS	350	23.04.2002	YES		JS	AB			
SR	3502		YES		SR	cab		10	
JS	351	23.04.2002	YES		JS	AB			
JS	352	23.04.2002	YES		JS	AB			
MD	353	03.05.2002	YES		MD	AB/AB(NY)			
MD	354	03.05.2002	YES		MD	AB/AB(NY)			
MD	355	03.05.2002	YES		MD	AB/AB(NY)			
JS	356	16.05.2002	YES		JS	AB			
JS	357	16.05.2002	YES		JS	AB			
JS	358	18.05.2002	YES		JS	AB			
JS	359	18.05.2002	YES		JS	AB			
JS	360	18.05.2002	YES		JS	AB			
JS	361	18.05.2002	YES		JS	AB			
MA	362	11.06.2002	YES		MA	oep m134 + AB			
MA	363	11.06.2002	YES		MA	han 56 + AB			
MA	364	11.06.2002	YES		MA	han 56 + AB			
MA	365	11.06.2002	YES		MA	spt b104 + AB			
MA	366	11.06.2002	YES		MA	spt b104 + AB			
MA	367	11.06.2002	YES		MA	han 56 + AB			
MA	368	11.06.2002	YES		MA	han 56 + AB			
MA	369	19.06.2002	YES		MA	cas t56 + AB			
ER	370	20.06.2002	YES		ER	spt b104 / ntl b160			
ER	371	20.06.2002	YES		ER	spt b104 / ntl b160			
KD	372	19.07.2002	YES		KD	MZoep			
ER	373	10.07.2002	YES		ER	cab			
KS	374	16.07.2002	YES		KS	cas ta56 x AB			
KS/JS	375	16.07.2002	YES		KS/JS	cas ta56 x AB			
KS/JS	376	16.07.2002	YES		KS/JS	oep M134 x AB			
KS/JS	377	16.07.2002	YES		KS/JS	oep M134 x AB			
AN/SS	378	30.07.2002	YES		AN/SS	gsc-GFP			
AN/SS	379	30.07.2002	YES		AN/SS	gsc-GFP			
KD	380	02.08.2002	YES		KD	mzoep			
KS/JS	381	06.08.2002	YES		KS/JS	han ta56xAB			
KS/JS	382	06.08.2002	YES		KS/JS	ntl b160xAB			
KS/JS	383	06.08.2002	YES		KS/JS	din m84xAB			
KS/JS	384	06.08.2002	YES		KS/JS	din m84xAB			
KS/JS	385	06.08.2002	YES		KS/JS	noi ta29axAB			
KS/JS	386	06.08.2002	YES		KS/JS	smu b641 xAB			
KD	387	08.08.2002	YES		KD	mzoep			
JS/KS	388	09.08.2002	YES		JS/KS	spt b104 x AB			
JS/KS	389	09.08.2002	YES		JS/KS	spt b104 x AB			
JS/KS	390	09.08.2002	YES		JS/KS	clo m34xAB			
JS/KS	391	09.08.2002	YES		JS/KS	clo m34xAB			
JS/KS	392	09.08.2002	YES		JS/KS	clo m34xAB			
JS/KS	393	09.08.2002	YES		JS/KS	clo m34xAB			
JS/KS	394	09.08.2002	YES		JS/KS	mil t273xAB			
JS/KS	395	09.08.2002	YES		JS/KS	mil t273xAB			
JS/KS	396	09.08.2002	YES		JS/KS	swr ta72xAB			
JS/KS	397	09.08.2002	YES		JS/KS	swr ta72xAB			
KD	398	14.08.2002	YES		KD	mzoep			
JS/KS	399	17.07.2002	YES		JS/KS	ntl b160xAB			
KS/JS	400	22.08.2002	YES		KS/JS	flh ak41 x AB			
JS/KS	401	22.08.2002	YES		JS/KS	flh ak41 x AB			
JS/KS	402	22.08.2002	YES		JS/KS	kny m818 x AB			
JS/KS	403	22.08.2002	YES		JS/KS	kny m818 x AB			
JS/KS	404	22.08.2002	YES		JS/KS	kny m818 x AB			
MD	405	11.09.2002	YES		MD	AB CO4b(200uM)			
	406	11.09.2002	YES			AB R4b(200uM)			
JS,KS	407	11.09.2002	YES		JS,KS	cas ta56 x AB			
ER	408	29.09.2002	YES		ER	gsc-GFP-nos +/+			
MD	409	01.10.2002	YES		MD	AB IIL1a MO (200uM)			
MD	410	01.10.2002	YES		MD	AB SD1b MO (200uM)			
JS/ks	411	01.10.2002	YES		JS/ks	noi ta29a/AB			
ks/js	412	01.10.2002	YES		ks/js	noi ta29a/AB			
MD	413	04.10.2002	YES		MD	AB			
MD	414	04.10.2002	YES		MD	AB			
MR	415	21.10.2002	YES		MR	noi ta29a/AB			
HB	416	01.11.2002	YES		HB	1111-F EGFP/AB			
HB	417	01.11.2002	YES		HB	1111-F EGFP/AB			
ER	418	03.11.2002	YES		ER	gsc-GFP-nos +/+			
KS/JS	419	08.11.2002	YES		KS/JS	spt  b104 x AB			
ks	420	08.11.2002	YES		ks	oep m134 x AB			
JS	421	08.11.2002	YES		JS	oep m134 x AB			
KS	422	08.11.2002	YES		KS	swr  ta72 x AB			
KD	423	13.11.2002	YES		KD	mzoep			
ks	424	12.11.2002	YES		ks	noi ta29a/AB			
KD	425	19.11.2002	YES		KD	mzoep			
KS	426	20.11.2002	YES		KS	AB			
KS	427	20.11.2002	YES		KS	AB			
KS	428	20.11.2002	YES		KS	noi ta29a x AB			
KS	429	20.11.2002	YES		KS	noi ta29a x AB			
KS	430	20.11.2002	YES		KS	swr ta29a x AB			
KS	431	26.11.2002	YES		KS	AB			
ks	432	26.11.2002	YES		ks	AB			
KD	433	28.11.2002	YES		KD	mzoep			
MD	434	14.01.2003	YES		MD	AB			
MD	435	14.01.2003	YES		MD	AB			
MD	436	15.01.2003	YES		MD	AB			
MD	437	15.01.2003	YES		MD	AB			
MD	438	15.01.2003	YES		MD	AB			
MD	439	17.01.2003	YES		MD	AB			
MD	440	17.01.2003	YES		MD	AB(NY)			
MD	441	17.01.2003	YES		MD	AB(NY)			
MD	442	17.01.2003	YES		MD	TL			
KD	443	16.01.2003	YES		KD	MZoep			
MD	444	28.01.2003	YES		MD	HK			
ER	445	10.02.2003	YES		ER	kaga			
KD	446	20.02.2003	YES		KD	gsc-gfp			
KD	447	20.02.2003	YES		KD	gsc-gfp			
KD	448	20.02.2003	YES		KD	gsc-gfp			
MD	449	28.02.2003	YES		MD	WIK			
MD	450	28.02.2003	YES		MD	WIK			
JD	451	07.03.2003	YES		JD	smu b641 x AB			
JD	452	07.03.2003	YES		JD	smu b641 x AB			
ER	453	21.02.2003	YES		ER	cab			
ER	454	21.02.2003	YES		ER	kaga			
ME	455	17.03.2003	YES		ME	gsc-GFP-nos +/+			
ME	456	17.03.2003	YES		ME	gsc-GFP-nos +/+			
ME	457	17.03.2003	YES		ME	gsc-GFP-nos +/+			
JS	458	21.03.2003	YES		JS	oep heterozygotexAB			
JS	459	21.03.2003	YES		JS	oep heterozygotexAB			
JS	460	21.03.2003	YES		JS	oep heterozygotexAB			
JS	461	21.03.2003	YES		JS	oep heterozygotexAB			
JS	462	21.03.2003	YES		JS	oep heterozygotexAB			
JS	463	21.03.2003	YES		JS	oep heterozygotexAB			
HB	464	03.04.2003	YES		HB	1111 F-GFP nos1			
JS	465	06.04.2003	YES		JS	han ta56xAB			
JS	466	06.04.2003	YES		JS	oep m134 x AB			
JS	467	06.04.2003	YES		JS	oep m134 x AB			
JS	468	06.04.2003	YES		JS	oep m134 x AB			
KS	469	06.04.1003	YES		KS	cas ta56 x AB			
KS	470	06.04.1003	YES		KS	cas ta56 x AB			
KS	471	06.04.1003	YES		KS	cas ta56 x AB			
HB	472	11.04.2003	YES		HB	1111 F-GFP nos1			
HB	473	11.04.2003	YES		HB	din m84xAB			
HB	474	11.04.2003	YES		HB	din m84xAB			
HB	475	11.04.2003	YES		HB	din m84xAB			
HB	476	11.04.2003	YES		HB	din m84xAB			
RK	478	09.04.2003	YES		RK	Tc3			
HB	478	18.04.2003	YES		HB	1111 F-GFP nos1			
RK	479	25.04.2003	YES		RK	clo m34 x AB			
RK	481	25.04.2003	YES		RK	mil t273 x AB			
RK	482	25.04.2003	YES		RK	mil t273 x AB			
RK	483	25.04.2003	YES		RK	ntl b160			
RK	484	25.04.2003	YES		RK	ntl b160			
RK	485	25.04.2003	YES		RK	ntl b160			
MD	486	28.04.2003	YES		MD	kny m818 x AB			
MD	487	28.04.2003	YES		MD	kny m818 x AB			
MD	488	28.04.2003	YES		MD	kny m818 x AB			
HB	489	12.05.2003	YES		HB	1111 F-GFP nos1			
HB	490	17.05.2003	YES		HB	swr  ta72 x AB			
HB	491	17.05.2003	YES		HB	swr  ta72 x AB			
HB	492	17.05.2003	YES		HB	swr  ta72 x AB			
JS	494	22.05.2003	YES		JS	han ta56xAB			
js	495	22.05.2003	YES		js	han ta56xAB			
JS	496	22.05.2003	YES		JS	han ta56xAB			
KS	497	22.05.2003	YES		KS	spt  b104 x AB			
KS	498	22.05.2003	YES		KS	spt  b104 x AB			
RK	499	27.05.2003	YES		RK	mil t273 x AB			
MD	500	28.05.2003	YES		MD	AB(NY)/AB x AB			
MD	501	28.05.2003	YES		MD	AB(NY)/AB x AB			
MD	502	28.05.2003	YES		MD	AB(NY)/AB x AB(NY)/AB			
MD	503	28.05.2003	YES		MD	AB(NY)/AB x AB(NY)/AB			
MD	504	28.05.2003	YES		MD	AB			
MD	505	28.05.2003	YES		MD	AB			
MD	506	28.05.2003	YES		MD	AB(NY)			
MD	507	28.05.2003	YES		MD	AB(NY)			
HB	508	31.05.2003	YES		HB	swr ta72 x AB			
MR	509	06.06.2003	YES		MR	flh ak41 x AB			
MR	510	06.06.2003	YES		MR	flh ak41 x AB			
